1.00,46.00,66.87,79.00,56.62
3.00,43.37,64.25,75.87,63.62
5.00,54.42,69.50,76.62,68.00
7.00,52.11,65.83,75.00,65.16
9.00,55.15,57.35,68.57,69.42
11.00,57.31,57.62,63.50,68.31
13.00,60.93,51.26,66.64,81.69
15.00,67.05,47.06,58.18,78.27
17.00,66.83,46.91,58.08,79.68
19.00,64.33,42.66,53.82,81.88
21.00,75.59,45.53,53.06,79.13
23.00,77.94,41.35,51.47,76.29
25.00,78.42,45.45,43.20,73.00
27.00,81.03,48.82,44.53,66.32
29.00,83.73,55.23,41.28,72.14
31.00,80.80,58.33,42.85,64.88
33.00,76.53,60.93,49.06,64.06
35.00,76.37,57.75,52.33,69.71
37.00,74.91,69.41,56.37,53.75
39.00,69.95,62.56,53.40,57.80
41.00,63.47,71.76,56.04,50.19
43.00,60.57,67.80,55.76,53.47
45.00,55.95,75.52,58.20,47.66
47.00,58.46,75.59,63.07,47.23
49.00,46.30,82.15,77.70,49.35
51.00,53.05,82.68,75.61,49.88
53.00,45.21,77.59,79.45,47.75
